Episode	Score	Epsilon
1213	570.0	0.05
1214	930.0	0.05
1215	470.0	0.05
1216	750.0	0.05
1217	820.0	0.05
1218	1180.0	0.05
1219	870.0	0.05
1220	740.0	0.05
1221	810.0	0.05
1222	1010.0	0.05
1223	1380.0	0.05
1224	1390.0	0.05
1225	690.0	0.05
1226	840.0	0.05
1227	2470.0	0.05
1228	1510.0	0.05
1229	2000.0	0.05
1230	1210.0	0.05
1231	240.0	0.05
1232	1710.0	0.05
1233	1260.0	0.05
1234	770.0	0.05
1235	860.0	0.05
1236	600.0	0.05
1237	850.0	0.05
1238	710.0	0.05
1239	1350.0	0.05
1240	520.0	0.05
1241	2140.0	0.05
1242	610.0	0.05
1243	800.0	0.05
1244	1770.0	0.05
1245	360.0	0.05
1246	890.0	0.05
1247	990.0	0.05
1248	1160.0	0.05
1249	2100.0	0.05
1250	800.0	0.05
1251	730.0	0.05
1252	980.0	0.05
1253	500.0	0.05
1254	1470.0	0.05
1255	910.0	0.05
1256	640.0	0.05
1257	1290.0	0.05
1258	760.0	0.05
1259	2740.0	0.05
1260	880.0	0.05
1261	290.0	0.05
1262	960.0	0.05
1263	1390.0	0.05
1264	1230.0	0.05
1265	3830.0	0.05
1266	430.0	0.05
1267	820.0	0.05
1268	930.0	0.05
1269	1640.0	0.05
1270	810.0	0.05
1271	830.0	0.05
1272	1620.0	0.05
1273	1100.0	0.05
1274	1470.0	0.05
1275	820.0	0.05
1276	1790.0	0.05
1277	1620.0	0.05
1278	870.0	0.05
1279	780.0	0.05
1280	890.0	0.05
1281	1120.0	0.05
1282	1130.0	0.05
1283	990.0	0.05
1284	2570.0	0.05
1285	800.0	0.05
1286	400.0	0.05
1287	690.0	0.05
1288	510.0	0.05
1289	1370.0	0.05
1290	1510.0	0.05
1291	890.0	0.05
1292	1430.0	0.05
1293	1720.0	0.05
1294	1040.0	0.05
1295	2650.0	0.05
1296	1300.0	0.05
1297	2240.0	0.05
1298	1240.0	0.05
1299	960.0	0.05
1300	370.0	0.05
1301	2730.0	0.05
1302	600.0	0.05
1303	460.0	0.05
1304	1340.0	0.05
1305	1310.0	0.05
